,premisse,hypothèse,label
26,"Nous ne sommes pas mariés, quel nom portera mon enfant si le père ne le reconnaît pas ?",la question concerne la catégorie Famille,0
27,L'expulsion est-elle interrompue si je suis en RCD (réglement collectif de dettes) en Wallonie ?,la question concerne la catégorie Logement,0
28,Je me sépare. Puis-je demander au tribunal de la famille la garde des enfants avant que le divorce soit prononcé ?,la question concerne la catégorie Famille,0
29,Dois-je être personnellement présent(e) aux audiences devant le tribunal de la famille si j’ai lancé la procédure ?,la question concerne la catégorie Famille,0
30,Mon propriétaire peut-il me réclamer des arriérés d'indexation de loyer en Wallonie ?,la question concerne la catégorie Logement,0
31,Je suis parent. Mon ex ne paie pas la contribution alimentaire. Puis-je refuser qu'il continue à voir les enfants ?,la question concerne la catégorie Famille,0
32,Quelle est la valeur des accords obtenus en médiation familiale ?,la question concerne la catégorie Famille,0
33,Je suis parent. Qu'est-ce que le SECAL ?,la question concerne la catégorie Famille,0
34,Je suis parent. Dois-je encore payer la contribution alimentaire si mon fils de 23 ans est toujours en première ?,la question concerne la catégorie Famille,0
35,Le propriétaire peut-il augmenter le loyer de mon bail étudiant à Bruxelles ?,la question concerne la catégorie Logement,0
36,Je me marie. Puis-je me marier avec une personne de même sexe ?,la question concerne la catégorie Famille,0
37,Que faire si le propriétaire abuse du droit de visite en Wallonie ?,la question concerne la catégorie Logement,0
38,Mon propriétaire peut-il augmenter le loyer en cours de bail à Bruxelles ?,la question concerne la catégorie Logement,0
39,Dois-je partir avant la mise en oeuvre de l'expulsion à Bruxelles ?,la question concerne la catégorie Logement,0
40,Je m'assure que le propriétaire a obtenu un permis de location (Région wallonne). Pour quels logements le permis de location est-il nécessaire en Wallonie ?,la question concerne la catégorie Logement,0
41,"Nous sommes mariés, quel nom portera notre enfant ?",la question concerne la catégorie Famille,0
42,Mon propriétaire peut-il mettre d'initiative mes meubles à la rue à Bruxelles ?,la question concerne la catégorie Logement,0
43,Précompte immobilier : dois-je le payer à Bruxelles ?,la question concerne la catégorie Logement,0
44,Peut-on m'imposer une mesure d'administration de biens et/ou de la personne ?,la question concerne la catégorie Famille,0
45,Je souhaite divorcer pour cause de désunion irrémédiable. Puis-je fixer une limite dans le temps pour la pension alimentaire ?,la question concerne la catégorie Famille,0
46,Comment modifier la mesure d'administration de biens et/ou de la personne ?,la question concerne la catégorie Famille,0
47,Je loue un garage. Quelles règles s'appliquent à mon bail à Bruxelles ?,la question concerne la catégorie Logement,0
48,Les père et mère de l'enfant résident séparément. Que faire si l'autre parent a pris une décision avec laquelle je ne suis pas d'accord concernant notre enfant ?,la question concerne la catégorie Famille,0
49,J'ai signé une déclaration de cohabitation légale. Puis-je louer ou vendre notre maison sans l’accord de mon cohabitant légal ?,la question concerne la catégorie Famille,0
50,Je suis parent. Comment réclamer les frais extraordinaires à mon ex ?,la question concerne la catégorie Famille,0
51,Dois-je partir avant la mise en oeuvre de l'expulsion en Wallonie ?,la question concerne la catégorie Logement,0
52,"Mon bail est un bail étudiant et de résidence principale, puis-je choisir quelles règles appliquer à Bruxelles ?",la question concerne la catégorie Logement,0
53,Une personne âgée qui n’a plus toute sa tête peut-elle faire l’objet d’une mise en observation ?,la question concerne la catégorie Famille,0
54,Je me sépare. Puis-je réclamer une pension alimentaire avant divorce ?,la question concerne la catégorie Famille,0
55,J'ai signé une déclaration de cohabitation légale. Les biens que je possédais avant notre cohabitation légale sont-ils communs ?,la question concerne la catégorie Famille,0
56,Dois-je prendre un avocat pour contester la décision d’un organisme de sécurité sociale en Wallonie ?,la question concerne la catégorie Logement,0
57,Dois-je payer les frais de justice si je conteste une décision d’un organisme de sécurité sociale en Wallonie ?,la question concerne la catégorie Logement,0
58,A quoi sert l’état des lieux à Bruxelles ?,la question concerne la catégorie Logement,0
59,Comment récupérer la garantie locative à Bruxelles ?,la question concerne la catégorie Logement,0
60,"Quand dois-je reprendre le travail après le congé de maternité, et quelles démarches dois-je faire ?",la question concerne la catégorie Famille,0
61,Je me sépare. Le juge de la famille peut-il imposer à l'un de nous de quitter le logement familial ?,la question concerne la catégorie Famille,0
62,Le bail non officiel de colocation prend-il automatiquement fin à l'échéance à Bruxelles ?,la question concerne la catégorie Logement,0
63,Frais de gestion de l'agence immobilière : dois-je les payer à Bruxelles ?,la question concerne la catégorie Logement,0
64,Nous ne sommes pas mariés. Puis-je reconnaître mon enfant avant sa naissance et comment faire ?,la question concerne la catégorie Famille,0
65,Je me sépare. Le juge de la famille peut-il imposer à l'un de nous de quitter le logement familial ?,la question concerne la catégorie Famille,0
66,Je divorce. Je divorce pour cause de désunion irrémédiable. Que se passe-t-il si mon conjoint est maintenant d’accord de divorcer ?,la question concerne la catégorie Famille,0
67,Je me marie. Puis-je contester le refus de mon mariage ?,la question concerne la catégorie Famille,0
68,Qui contrôle le fonctionnement de la tutelle ?,la question concerne la catégorie Famille,0
69,Les parents ne sont pas mariés ensemble. Quelles démarches effectuer pour être reconnu comme le père de mon enfant si ni moi ni la mère ne sommes mariés ?,la question concerne la catégorie Famille,0
70,Je suis marié(e). Puis-je vendre les meubles de la maison sans l’accord de mon conjoint ?,la question concerne la catégorie Famille,0
71,Je suis parent. L'hébergement alterné empêche-t-il le paiement d'une contribution alimentaire ?,la question concerne la catégorie Famille,0
72,"J'étais sous administration provisoire de biens, que s'est-il passé au 1er septembre 2019 ?",la question concerne la catégorie Famille,0
73,Je divorce. Je divorce pour cause de désunion irrémédiable. Nous sommes d’accord de divorcer. Quand serons-nous officiellement divorcés (divorce pour cause de désunion irrémédiable) ?,la question concerne la catégorie Famille,0
74,Que faire si l'autre parent a pris une décision avec laquelle je ne suis pas d'accord concernant notre enfant ?,la question concerne la catégorie Famille,0
75,"Je me sépare. En tant que cohabitants légaux, à quelles conditions peut-on demander des mesures urgentes et provisoires au juge de la famille ?",la question concerne la catégorie Famille,0
76,Dois-je partir avant la mise en oeuvre de l'expulsion ?,la question concerne la catégorie Logement,0
77,"Mon propriétaire ne fait pas les réparations nécessaires, puis-je rompre le bail à Bruxelles ?",la question concerne la catégorie Logement,0
78,Peut-on m'expulser si je ne respecte pas le règlement d'ordre intérieur de mon logement social en Wallonie ?,la question concerne la catégorie Logement,0
79,Je suis parent. Puis-je faire appel au SECAL ?,la question concerne la catégorie Famille,0
80,Quels sont les différentes possibilités d'hébergement des enfants ?,la question concerne la catégorie Famille,0
81,Puis-je mettre fin au bail de 9 ans avant son échéance à Bruxelles ?,la question concerne la catégorie Logement,0
82,"Je suis victime de violences conjugales. Victime de violences conjugales, à qui m'adresser si je veux être aidée ?",la question concerne la catégorie Famille,0
83,Les père et mère de l'enfant résident séparément. Les tiers doivent-ils toujours demander l'accord des 2 parents ?,la question concerne la catégorie Famille,0
84,Une expulsion est-elle rapide en Wallonie ?,la question concerne la catégorie Logement,0
85,Les colocataires tous ensemble peuvent-ils mettre fin au bail non officiel de colocation avant l'échéance à Bruxelles ?,la question concerne la catégorie Logement,0
86,Comment répartir les charges entre les différents locataires d'une copropriété en Wallonie ?,la question concerne la catégorie Logement,0
87,Qui peut être désigné comme tuteur ?,la question concerne la catégorie Famille,0
88,Je deviens cohabitant légal. A qui appartiennent les biens achetés pendant la cohabitation légale ?,la question concerne la catégorie Famille,0
89,Que devient le bail en cas de décès du propriétaire à Bruxelles ?,la question concerne la catégorie Logement,0
90,"Nous ne sommes pas mariés, quel nom portera notre enfant si son père le reconnaît après qu'il ait été déclaré à la commune ?",la question concerne la catégorie Famille,0
91,Comment et à quelle fréquence s'organisent les visites de domicile à Bruxelles ?,la question concerne la catégorie Logement,0
92,L'administrateur de biens peut-il accepter le plan amiable proposé par le médiateur de dettes ?,la question concerne la catégorie Famille,0
93,Un colocataire seul peut-il mettre fin au bail non officiel de colocation avant l'échéance en Wallonie ?,la question concerne la catégorie Logement,0
94,Les père et mère de l'enfant résident ensemble. Que faire si je ne peux pas me mettre d'accord avec l'autre parent pour une décision concernant notre enfant mineur ?,la question concerne la catégorie Famille,0
95,Qu'est-ce qu'une déclaration de préférence ?,la question concerne la catégorie Famille,0
96,Que devient le bail en cas de décès du locataire en Wallonie ?,la question concerne la catégorie Logement,0
97,"Mon propriétaire ne fait pas les réparations nécessaires, puis-je rompre le bail à Bruxelles ?",la question concerne la catégorie Logement,0
98,"Si on m'expulse, que fait-on de mes meubles à Bruxelles ?",la question concerne la catégorie Logement,0
99,"Je me sépare. On se sépare, quel est le sort de la maison achetée ensemble ?",la question concerne la catégorie Famille,0
100,Quand le juge de paix peut-il mettre fin au bail à Bruxelles ?,la question concerne la catégorie Logement,0
101,Comment faire un état des lieux à Bruxelles ?,la question concerne la catégorie Logement,0
102,Que se passe-t-il si je reste dans le logement après l’échéance du bail de courte durée à Bruxelles ?,la question concerne la catégorie Logement,0
103,Que devient le bail en cas de décès du locataire à Bruxelles ?,la question concerne la catégorie Logement,0
104,Je me marie. Quels documents dois-je remettre pour pouvoir me marier ?,la question concerne la catégorie Famille,0
105,Le juge choisit-il d'office l'hébergement égalitaire ?,la question concerne la catégorie Famille,0
106,Je suis parent. Puis-je indexer la contribution alimentaire Comment calculer cette indexation ?,la question concerne la catégorie Famille,0
107,J'héberge un ami/un proche. Dois-je éternellement héberger mon enfant ?,la question concerne la catégorie Logement,0
108,Qui doit réparer le mur mitoyen ?,la question concerne la catégorie Logement,0
109,"Qu’entend-on par « réparations rendues nécessaires par la vétusté, l’usure normale ou la force majeure » à Bruxelles ?",la question concerne la catégorie Logement,0
110,Comment et à quelle fréquence s'organisent les visites de domicile en Wallonie ?,la question concerne la catégorie Logement,0
111,Je me sépare. Quelles sont les conséquences de notre séparation en ce qui concerne nos enfants ?,la question concerne la catégorie Famille,0
112,"J'héberge un ami/un proche. Mon ami a son adresse de référence chez moi, peut-on saisir mes meubles ?",la question concerne la catégorie Logement,0
113,Dois-je avoir l'accord de l’autre parent pour partir en vacances avec mon enfant ?,la question concerne la catégorie Famille,0
114,Le propriétaire peut-il mettre fin au bail officiel de colocation avant l’échéance à Bruxelles ?,la question concerne la catégorie Logement,0
115,Combien de fois puis-je demander la prorogation pour circonstances exceptionnelles à Bruxelles ?,la question concerne la catégorie Logement,0
116,Quels types de décisions relèvent de l'autorité parentale ?,la question concerne la catégorie Famille,0
117,Qu’est-ce que la chambre de règlement amiable ?,la question concerne la catégorie Famille,0
118,Je divorce. De quelles manières peut-on divorcer ?,la question concerne la catégorie Famille,0
119,Je deviens cohabitant légal. Quelles démarches devons-nous faire pour devenir cohabitants légaux ?,la question concerne la catégorie Famille,0
120,Qui doit payer l'état des lieux à Bruxelles ?,la question concerne la catégorie Logement,0
121,Je me sépare. Mon partenaire peut-il me mettre à la porte si je suis domicilié(e) dans notre logement ?,la question concerne la catégorie Famille,0
122,"Je suis victime de violences conjugales. Je suis un ami de la victime de violences conjugales, puis-je porter plainte ?",la question concerne la catégorie Famille,0
123,"Les parents ne sont pas mariés ensemble. La mère de l'enfant est mariée à quelqu'un d'autre que le père. Quelles démarches pour reconnaître l'enfant si la mère de l'enfant et son mari résident, depuis plus de 300 jours officiellement à des domiciles différents ?",la question concerne la catégorie Famille,0
124,Je suis parent. Quel est le juge vers lequel me tourner pour mes contributions alimentaires ?,la question concerne la catégorie Famille,0
125,Je me sépare. Puis-je quitter le logement familial sans perdre mes droits si je suis cohabitant légal ?,la question concerne la catégorie Famille,0
126,Je vis en couple. Devons-nous faire une convention de vie commune ?,la question concerne la catégorie Famille,0
127,Comment organiser moi-même ma future mesure de protection (protection extra judiciaire) ?,la question concerne la catégorie Famille,0
128,Qui doit payer la construction du mur mitoyen ?,la question concerne la catégorie Logement,0
129,Je n'ai pas signé de bail. Quels sont mes droits à Bruxelles ?,la question concerne la catégorie Logement,0
130,Que se passe-t-il au décès de la personne protégée ?,la question concerne la catégorie Famille,0
131,Je suis marié(e). Dois-je avoir l'accord de mon conjoint pour exercer une profession ?,la question concerne la catégorie Famille,0
132,Que faire si le propriétaire abuse du droit de visite en Wallonie ?,la question concerne la catégorie Logement,0
133,Je souhaite divorcer par consentement mutuel. Puis-je demander une pension alimentaire à mon mari/ma femme ?,la question concerne la catégorie Famille,0
134,Mon propriétaire peut-il réévaluer le montant de la garantie locative en cours de bail à Bruxelles ?,la question concerne la catégorie Logement,0
135,Comment et à quelle fréquence s'organisent les visites de domicile en Wallonie ?,la question concerne la catégorie Logement,0
136,J'héberge un ami/un proche. Puis-je héberger mon ami en échange d'une participation financière ?,la question concerne la catégorie Logement,0
137,Le bail de 9 ans prend-il automatiquement fin à l’échéance à Bruxelles ?,la question concerne la catégorie Logement,0
138,Je divorce. Comment se passe la procédure de divorce par consentement mutuel ?,la question concerne la catégorie Famille,0
139,"J'héberge un ami/un proche. Mon ami prétend qu'un bail verbal existe entre nous, que puis-je faire ?",la question concerne la catégorie Logement,0
140,Que faire si je n'obtiens pas la prorogation pour circonstances exceptionnelles en Wallonie ?,la question concerne la catégorie Logement,0
141,Je suis victime de violences conjugales. Comment déceler la violence conjugale ?,la question concerne la catégorie Famille,0
142,Puis-je demander de modifier une décision d'hébergement de mes enfants ?,la question concerne la catégorie Famille,0
143,Les parents ne sont pas mariés ensemble. La mère de l'enfant est mariée à quelqu'un d'autre que le père. Peut-on m'obliger à établir un lien de filiation père/enfant si la mère est mariée à quelqu'un d'autre ?,la question concerne la catégorie Famille,0
144,Mon propriétaire peut-il me réclamer des intérêts de retard à Bruxelles ?,la question concerne la catégorie Logement,0
145,Qui prend les mesures urgentes pour le mineur le temps de la procédure ?,la question concerne la catégorie Famille,0
146,Qui peut être désigné comme administrateur de biens et/ou de la personne ?,la question concerne la catégorie Famille,0
147,Qui exerce l'autorité parentale si un des parents est seul pour prendre les décisions ?,la question concerne la catégorie Famille,0
148,Je suis parent. Puis-je réclamer une contribution alimentaire à mon ex plusieurs années après notre séparation ?,la question concerne la catégorie Famille,0
149,Puis-je demander une conciliation pour régler un conflit locatif à Bruxelles ?,la question concerne la catégorie Logement,0
150,Comment organiser l'hébergement d'un enfant mineur ?,la question concerne la catégorie Famille,0
151,"Si je meurs, mon enfant majeur peut-il continuer à occuper le logement social en Wallonie ?",la question concerne la catégorie Logement,0
152,Un bail écrit est-il obligatoire en Wallonie ?,la question concerne la catégorie Logement,0
153,Je suis marié(e). Puis-je ouvrir un compte en banque sans l'accord de mon conjoint ?,la question concerne la catégorie Famille,0
154,Quelle est la différence entre le forfait et la provision pour charges à Bruxelles ?,la question concerne la catégorie Logement,0
155,Qu’entend-on par entretiens et réparations à Bruxelles ?,la question concerne la catégorie Logement,0
156,Qu'est-ce que je risque si j'occupe une maison sans autorisation (squat) à Bruxelles ?,la question concerne la catégorie Logement,0
157,Je me marie. Dois-je aider mon conjoint s'il est dans le besoin ?,la question concerne la catégorie Famille,0
158,Devant quel tribunal aller en cas de problème lié à la filiation ?,la question concerne la catégorie Famille,0
159,Faut-il un permis de location à Bruxelles ?,la question concerne la catégorie Logement,0
160,"Nous ne sommes pas mariés, quel nom portera notre enfant si son père le reconnaît avant ou à sa naissance ?",la question concerne la catégorie Famille,0
161,"J'ai signé une déclaration de cohabitation légale. En cohabitation légale, qui doit payer le remboursement du prêt voiture ?",la question ne concerne pas la catégorie Famille,2
162,Dois-je installer des détecteurs incendie en Wallonie ?,la question ne concerne pas la catégorie Logement,2
163,Que se passe-t-il s'il n'y a pas d'état des lieux à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
164,En quoi suis-je responsable de mon enfant ?,la question ne concerne pas la catégorie Famille,2
165,Quels sont les types de garantie locative à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
166,"J'héberge un ami/un proche. Mon ami a abîmé mon habitation, qui doit faire les réparations ?",la question ne concerne pas la catégorie Logement,2
167,Un bail écrit est-il obligatoire à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
168,Je suis marié(e). Faut-il prendre une assurance RC familiale ?,la question ne concerne pas la catégorie Famille,2
169,Les parents ne sont pas mariés ensemble. Peut-on me réclamer une aide financière pour l'enfant si je suis son père biologique mais pas légal ?,la question ne concerne pas la catégorie Famille,2
170,Un colocataire seul peut-il mettre fin au bail officiel de colocation avant l'échéance à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
171,Je suis parent. Jusque quel âge dois-je continuer de payer une contribution alimentaire ?,la question ne concerne pas la catégorie Famille,2
172,"Je suis victime de violences conjugales. Après le dépôt de plainte, que peut décider le parquet ?",la question ne concerne pas la catégorie Famille,2
173,Je me sépare. Les mesures urgentes et provisoires prises par le juge de la famille sont-elles limitées dans le temps pour les cohabitants légaux ?,la question ne concerne pas la catégorie Famille,2
174,Je deviens cohabitant légal. Devons-nous faire une convention de cohabitation légale ?,la question ne concerne pas la catégorie Famille,2
175,J'ai signé une déclaration de cohabitation légale. Nous sommes cohabitants légaux. Qui doit rembourser le crédit hypothécaire ?,la question ne concerne pas la catégorie Famille,2
176,Mon logement est reconnu inhabitable à cause de l'insalubrité. Mon logement fait l'objet d'un arrêté d'inhabitabilité à cause de l'insalubrité. Doit-on me reloger en Wallonie ?,la question ne concerne pas la catégorie Logement,2
177,Comment et à quelle fréquence s'organisent les visites de domicile en Wallonie ?,la question ne concerne pas la catégorie Logement,2
178,Est-ce que je dois installer des détecteurs incendie en Wallonie ?,la question ne concerne pas la catégorie Logement,2
179,Les parents ne sont pas mariés ensemble. Puis-je être considéré comme le père de mon enfant décédé à la naissance ?,la question ne concerne pas la catégorie Famille,2
180,"Mon voisin refuse de vendre sa mitoyenneté, que dois-je faire ?",la question ne concerne pas la catégorie Logement,2
181,Je me marie. Sommes-nous obligés de faire un contrat de mariage ?,la question ne concerne pas la catégorie Famille,2
182,Qui exerce l'autorité parentale si aucun des parents ne peut prendre de décisions ?,la question ne concerne pas la catégorie Famille,2
183,J'ai divorcé pour cause de désunion irrémédiable. Puis-je indexer la pension alimentaire Comment calculer cette indexation ?,la question ne concerne pas la catégorie Famille,2
184,L'allocation pour l'aide aux personnes âgées (APA) diminue-t-elle si je vis avec d'autres personnesà Bruxelles ?,la question ne concerne pas la catégorie Logement,2
185,Pour quels problèmes faire appel à un médiateur familial ?,la question ne concerne pas la catégorie Famille,2
186,Les parents ne sont pas mariés ensemble. Puis-je reconnaître mon enfant avant sa naissance et comment faire ?,la question ne concerne pas la catégorie Famille,2
187,Je divorce. Je divorce par consentement mutuel. Comment se passe la procédure de divorce par consentement mutuel ?,la question ne concerne pas la catégorie Famille,2
188,Le juge choisit-il d'office l'hébergement égalitaire ?,la question ne concerne pas la catégorie Famille,2
189,Je me sépare. Peut-on se séparer d'un commun accord sans déclaration de fin de cohabitation légale ?,la question ne concerne pas la catégorie Famille,2
190,Quelles charges dois-je payer en tant que locataire à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
191,Dois-je éternellement héberger mon enfant ?,la question ne concerne pas la catégorie Famille,2
192,Peut-on m’interdire d’écouter ma musique avec le volume au maximum ?,la question ne concerne pas la catégorie Logement,2
193,Je suis marié(e). Dois-je vivre sous le même toit que mon époux(se) ?,la question ne concerne pas la catégorie Famille,2
194,"L'arbre de mon voisin a plus de 30 ans, puis-je demander son arrachage ?",la question ne concerne pas la catégorie Logement,2
195,Je divorce. Je divorce par consentement mutuel. Qu'est-ce que le divorce par consentement mutuel ?,la question ne concerne pas la catégorie Famille,2
196,Je me sépare. Comment la cohabitation légale prend-elle fin ?,la question ne concerne pas la catégorie Famille,2
197,Je me marie. A quelles conditions puis-je me marier en Belgique ?,la question ne concerne pas la catégorie Famille,2
198,Où et comment introduire la demande de mise sous administration de biens et/ou de la personne ?,la question ne concerne pas la catégorie Famille,2
199,"Je me sépare. On se sépare, qui doit payer le loyer ?",la question ne concerne pas la catégorie Famille,2
200,Mon propriétaire peut-il mettre fin au bail à vie à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
201,Une personne sous administration de biens et/ou de la personne peut-elle signer un bail en Wallonie ?,la question ne concerne pas la catégorie Logement,2
202,Je n'ai pas signé de bail. Quels sont mes droits à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
203,"Je me sépare. En tant que cohabitants légaux, quelles sont les conséquences de notre séparation sur nos droits et devoirs l’un envers l’autre ?",la question ne concerne pas la catégorie Famille,2
204,Mon propriétaire peut-il faire des travaux alors que j’occupe le logement à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
205,Que faire si le propriétaire refuse de libérer la garantie locative à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
206,Je suis parent. Peut-on régler à l'amiable les problèmes liés à la contribution alimentaire ?,la question ne concerne pas la catégorie Famille,2
207,Mon propriétaire peut-il mettre fin au bail de 9 ans pour que ses enfants occupent le logement à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
208,Dois-je installer des détecteurs incendie en Wallonie ?,la question ne concerne pas la catégorie Logement,2
209,Je me marie. Quelles démarches dois-je effectuer pour pouvoir me marier ?,la question ne concerne pas la catégorie Famille,2
210,Je suis marié(e). Les biens que je possédais avant le mariage deviennent-ils communs ?,la question ne concerne pas la catégorie Famille,2
211,Je suis séparé de mon mari/ma femme. Dois-je payer une pension alimentaire ?,la question ne concerne pas la catégorie Famille,2
212,Mon propriétaire peut-il mettre fin au bail de longue durée avant l’échéance à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
213,"Je suis parent. Les frais extraordinaires, qu'est-ce que c'est ?",la question ne concerne pas la catégorie Famille,2
214,Mon propriétaire peut-il m'expulser si je suis en retard de paiement à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
215,Le propriétaire peut-il m'envoyer un décompte des charges 2 ans après la fin de mon bail à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
216,Je me sépare. Comment se déroule la procédure de séparation devant le tribunal de la famille ?,la question ne concerne pas la catégorie Famille,2
217,Je suis parent. Dois-je m'inquiéter pour la contribution alimentaire de mon fils si mon ex rentre en règlement collectif de dettes ?,la question ne concerne pas la catégorie Famille,2
218,J'ai signé une déclaration de cohabitation légale. Dois-je aider mon cohabitant légal s’il est dans le besoin ?,la question ne concerne pas la catégorie Famille,2
219,Je divorce. Dois-je invoquer une faute de mon conjoint pour divorcer ?,la question ne concerne pas la catégorie Famille,2
220,Quelle est la mission de l'administrateur de biens ?,la question ne concerne pas la catégorie Famille,2
221,Je divorce. Je divorce pour cause de désunion irrémédiable. Nous sommes d’accord de divorcer. Quels motifs de désunion irrémédiable peuvent justifier notre volonté de divorcer ?,la question ne concerne pas la catégorie Famille,2
222,Mon propriétaire peut-il mettre d'initiative mes meubles à la rue ?,la question ne concerne pas la catégorie Logement,2
223,Je suis victime de violences conjugales. Puis-je retirer ma plainte pour violences conjugales ?,la question ne concerne pas la catégorie Famille,2
224,Que se passe-t-il si la personne protégée déménage ?,la question ne concerne pas la catégorie Famille,2
225,Je suis victime de violences conjugales. Puis-je faire expulser l'auteur des violences conjugales du logement familial ?,la question ne concerne pas la catégorie Famille,2
226,Je suis parent. Je n'ai pas confiance en mon ex. Sur quel autre compte puis-je payer la contribution alimentaire ?,la question ne concerne pas la catégorie Famille,2
227,"Je n'ai pas de chambre pour chaque enfant, le juge refusera-t-il que j'héberge mes enfants ?",la question ne concerne pas la catégorie Famille,2
228,Peut-on réclamer un loyer à un colocataire qui est parti à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
229,Je me sépare. Comment se déroule la procédure de séparation devant le tribunal de la famille ?,la question ne concerne pas la catégorie Famille,2
230,Je me sépare. Comment demander des mesures urgentes et provisoires devant le tribunal de la famille ?,la question ne concerne pas la catégorie Famille,2
231,Combien coûte la procédure de mise sous administration de biens et/ou de la personne ?,la question ne concerne pas la catégorie Famille,2
232,Je vis en union libre. A qui appartiennent les différents biens si nous vivons en union libre ?,la question ne concerne pas la catégorie Famille,2
233,L’indexation de mon loyer est-elle automatique à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
234,Mon propriétaire n’a pas enregistré le bail. Puis-je mettre fin au bail sans préavis ni indemnité à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
235,Je divorce. Je divorce par consentement mutuel. Quand serons-nous officiellement divorcés (divorce par consentement mutuel) ?,la question ne concerne pas la catégorie Famille,2
236,Je mets un kot en location (bail de droit commun). Que se passe-t-il si je n'ai pas demandé le permis de location en Wallonie ?,la question ne concerne pas la catégorie Logement,2
237,Comment se déroule la procédure judiciaire en vue de récupérer la garantie locative à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
238,Je souhaite divorcer pour cause de désunion irrémédiable. Puis-je demander une pension alimentaire à mon mari/ma femme ?,la question ne concerne pas la catégorie Famille,2
239,Le loyer de mon bail étudiant sera-t-il indexé à Bruxelles ?,la question ne concerne pas la catégorie Logement,2
240,Faut-il un permis de location pour une colocation en Wallonie ?,la question ne concerne pas la catégorie Logement,2
